kappa,L0Bar,L0Y,mu_Strength,sigma_uc_Strength,sigma_cal_Strength,mu_Toughness,sigma_uc_Toughness,sigma_cal_Toughness,p_Bar_dominant,p_Balanced,p_Y_dominant,p_Expanded,type,type_name,feasible,lcb_Strength,lcb_Toughness
1.0,1.3000000000000003,2.4000000000000012,92.71603922311698,1.1007671861822947,2.0322008497665527,5.172038103925191,0.3761103155262325,1.301913679272626,0.10669833561530848,0.017064257423326623,0.7685176681785973,0.10771973878276754,3,Y-dominant,True,90.68383837335043,3.870124424652565
1.0,1.2800000000000002,2.4000000000000012,92.93574561544693,1.150727892199776,2.06341779615031,5.176541907336176,0.4430965850434981,1.3394697394451969,0.10584917106576279,0.01733729617260346,0.7606162507441824,0.11619728201745134,3,Y-dominant,True,90.87232781929663,3.8370721678909794
1.0,1.1800000000000002,2.180000000000001,96.50693930053095,1.2327127655606598,2.1146444020171353,5.236858596419802,0.7519557459463336,1.5126325878215627,0.08941247839332023,0.007603918631852967,0.7953267687797998,0.10765683419502697,3,Y-dominant,True,94.39229489851381,3.7242260085982393
1.0,1.3000000000000003,2.4200000000000013,92.47100697461278,1.1819265750039736,2.082911668154475,5.273801768351495,0.4291543908598661,1.3316530049491344,0.10735194079978846,0.01824674722446518,0.7575585063166443,0.116842805659102,3,Y-dominant,True,90.3880953064583,3.9421487634023604
1.0,1.3200000000000003,2.4200000000000013,92.21989554050255,1.2386932596433629,2.1183811939484345,5.283360925707969,0.40272999354665023,1.3168380844785554,0.10825553846895405,0.017975436892929398,0.7654839209719042,0.10828510366621229,3,Y-dominant,True,90.10151434655411,3.9665228412294136
1.0,1.3200000000000003,2.4400000000000013,92.01335922149096,1.282106499273099,2.1455070871132045,5.384547521085957,0.4394735034761757,1.3374384475053254,0.10881227002469367,0.01915674262425673,0.7539489034751734,0.11808208387587615,3,Y-dominant,True,89.86785213437776,4.047109073580632
1.0,1.1600000000000001,2.160000000000001,97.33463275861693,1.6075828162100505,2.3488744440806686,5.5356927433906105,1.3100320756156218,1.8255198163385216,0.0882182625925157,0.007230867403088939,0.7980124618516777,0.10653840815271762,3,Y-dominant,True,94.98575831453627,3.710172927052089
1.0,1.1800000000000002,2.160000000000001,93.54214791706428,3.9505887131489437,3.8128547456395894,6.70316255901263,1.9821055560067389,2.2023199016672352,0.08821175577629181,0.006925196606828418,0.8005465927618163,0.10431645485506351,3,Y-dominant,True,89.7292931714247,4.500842657345395
1.0,1.1400000000000001,2.120000000000001,94.19789998793068,8.474962490309135,6.6398190718096135,7.5049241571195875,3.392422051826554,2.993018227773101,0.08658167973667091,0.00638451482550934,0.8120927816229604,0.09494102381485937,3,Y-dominant,True,87.55808091612107,4.5119059293464865
1.0,1.12,2.100000000000001,94.37925434179543,10.638592057148575,7.991719666623187,7.815725357242928,3.710599752745963,3.171405544568218,0.08589988044631766,0.006222299699643898,0.8178668462043277,0.09001097364971071,3,Y-dominant,True,86.38753467517225,4.64431981267471
1.0,1.1,2.080000000000001,94.55564077759048,12.15640678440207,8.940095795346645,8.088691737394182,3.7988970624200498,3.2209097056312763,0.08513088271730374,0.006119089422322363,0.8218263176985642,0.08692371016180973,3,Y-dominant,True,85.61554498224383,4.867782031762905
